Elapsed Time (sec),Day 2 HR (bpm),Day 3 HR (bpm),Average,Error
0,95.5,110.8,103.2,10.81873375
1,95.4,110.6,103.0,10.76570074
2,95.3,110.4,102.8,10.71266773
3,95.1,110.2,102.7,10.65963473
4,95.0,110.0,102.5,10.60660172
5,94.9,109.5,102.2,10.35409389
6,94.7,109.0,101.9,10.10151534
7,94.6,108.0,101.3,9.495454122
8,94.4,107.0,100.7,8.889322189
9,94.3,106.7,100.5,8.75490119
10,94.1,106.3,100.2,8.619702373
11,94.0,106.0,100.0,8.485281374
12,93.8,105.9,99.8,8.573669722
13,93.5,105.8,99.6,8.66205807
14,93.3,105.6,99.4,8.750446417
15,93.0,105.5,99.3,8.838834765
16,92.7,105.4,99.0,8.986125107
17,92.3,105.3,98.8,9.133486161
18,92.0,105.1,98.6,9.280776503
19,91.7,105.0,98.3,9.428066846
20,91.3,104.5,97.9,9.310262856
21,91.0,104.0,97.5,9.192388155
22,90.8,104.1,97.4,9.457553198
23,90.5,104.3,97.4,9.722718241
24,90.3,104.4,97.3,9.987883284
25,90.0,104.5,97.3,10.25304833
26,89.5,104.6,97.1,10.69499007
27,89.0,104.8,96.9,11.1369318
28,86.0,104.9,95.4,13.34664049
29,90.0,105.0,97.5,10.60660172
30,88.0,104.0,96.0,11.3137085
31,86.0,103.0,94.5,12.02081528
32,85.0,102.0,93.5,12.02081528
33,85.3,101.0,93.2,11.07802981
34,85.7,100.9,93.3,10.74116414
35,86.0,100.7,93.4,10.40436918
36,90.0,100.6,95.3,7.474825784
37,88.0,100.4,94.2,8.788630183
38,86.0,100.3,93.1,10.10172748
39,84.0,100.1,92.1,11.41482477
40,82.0,100.0,91.0,12.72792206
41,80.0,99.7,89.8,13.90645693
42,81.0,99.3,90.2,12.96360075
43,84.0,99.0,91.5,10.60660172
44,84.5,97.5,91.0,9.192388155
45,85.0,96.0,90.5,7.778174593
46,85.5,93.0,89.3,5.303300859
47,86.0,93.0,89.5,4.949747468
48,86.3,89.0,87.7,1.885641653
49,86.7,88.0,87.3,0.9427854714
50,87.0,87.7,87.3,0.471428091
51,88.0,87.3,87.7,0.471428091
52,89.0,87.0,88.0,1.414213562
53,90.0,89.0,89.5,0.7071067812
54,88.7,90.0,89.3,0.9427854714
55,87.3,87.0,87.2,0.2356786902
56,86.0,83.0,84.5,2.121320344
57,87.5,82.0,84.8,3.889087297
58,89.0,83.0,86.0,4.242640687
59,90.0,85.0,87.5,3.535533906
60,92.0,85.5,88.8,4.596194078
61,91.9,86.0,88.9,4.154252339
62,91.8,86.1,88.9,3.995153314
63,91.6,86.2,88.9,3.836054288
64,91.5,86.3,88.9,3.676955262
65,91.4,86.4,88.9,3.517856236
66,91.3,86.5,88.9,3.358757211
67,91.1,86.6,88.9,3.199658185
68,91.0,86.7,88.9,3.040559159
69,91.2,86.8,89.0,3.087723181
70,91.3,86.9,89.1,3.134816493
71,91.5,87.0,89.3,3.181980515
72,91.7,87.4,89.5,3.034690173
73,91.8,87.8,89.8,2.88732912
74,92.0,88.1,90.1,2.740038777
75,93.0,88.5,90.8,3.181980515
76,95.0,88.9,91.9,4.331029035
77,95.5,89.3,92.4,4.419417382
78,96.0,89.6,92.8,4.50780573
79,98.0,90.0,94.0,5.656854249
80,99.0,90.1,94.6,6.275572683
81,102.0,90.3,96.1,8.308504679
82,102.3,90.4,96.4,8.455582889
83,102.7,90.5,96.6,8.603368207
84,103.0,90.6,96.8,8.750446417
85,102.0,90.8,96.4,7.954951288
86,102.3,90.9,96.6,8.043339636
87,102.5,91.0,96.8,8.131727984
88,102.8,90.5,96.6,8.66205807
89,103.0,90.0,96.5,9.192388155
90,105.5,89.9,97.7,11.02443111
91,108.0,89.8,98.9,12.85647407
92,109.0,89.7,99.4,13.62785686
93,108.8,89.6,99.2,13.51535617
94,108.5,89.5,99.0,13.40285548
95,108.3,89.5,98.9,13.29042551
96,108.0,89.4,98.7,13.17792482
97,106.0,89.3,97.6,11.82798726
98,107.0,89.2,98.1,12.59937005
99,108.0,89.1,98.5,13.37075284
100,110.0,89.0,99.5,14.8492424
101,113.0,88.0,100.5,17.67766953
102,113.0,88.1,100.6,17.57662397
